user_id,track_id,rating
0,4LLvxxkWtt818FNO3cbsdo,5
0,16BGhwv8wYXkv2mMJF7ryv,5
0,0zHZSO80CTxNtvtRhveHRJ,5
0,1aHRhPwlNTNdMsDcYicxb6,4
0,5utrjc4CKEFVy0D3eJxV70,5
0,4SjKsDIVQessPLdN42FZlm,4
0,5SXwKl2nWY1No4wZ0FJDHN,5
0,1KgIBPUmEDdjsMwPnGmDKC,4
0,5TJOAIWHRYW8pRBpnvLUo1,4
0,7uubRr0u9Zxc1Y84hEn7Xf,5
0,1YbVxHsVtPlWfcLZV9Dd6F,5
0,5Rwivn8wMEQ6TP6XshXhZq,5
0,1VEBHl13HTNQX82pkSivoB,5
0,66Q6qHI1mPeGiUj85F9ZGu,5
0,2d9KBVxb6bUfVCjjv1JAVe,5
0,0giZdhbuEYl7uGJaeVuYCz,5
0,6qr4bldy3y451hApJFEWqa,5
0,3f0PZlTzwkqS1CJXvEKrHc,5
0,6sj84T5Xyi88dY6CxphgtR,5
0,1ZUwoCWz8rJqzBTwtdscPN,5
0,4Sxv0whUHWzHK5T8uuP66S,4
0,7hbAuG4CFb8ee6IOBKKdar,5
0,13Z3uZXTFpbLBZ8R1rTUKO,5
0,6Byh2m5om63yZL35VrP0CF,5
0,21JL0gpeAYgbSUmzhgSPJz,5
0,4UPlcGD9xQev7wUe4hen7H,5
0,29S6PLRccSCyKozzwIik0J,5
0,1TrBxJdVre9fDf5nEO7v9N,5
0,4vMd1LC7zj9APcJDQ2rUSI,5
0,39D5UK3cTAqnDwA8YJTncv,5
0,3FtgSioQocXl3D0nKhieP0,5
0,1ygYXKBJq60bBWYYLkyaCm,5
0,4N4rKm6cAmSYQwuKV71YmS,4
0,7LqLHYMZKWDcezKyDmcVrW,5
0,2JTyKEvUv60PdRPSButEgl,5
0,6jLH07K28JVUenzLYTxAp5,5
0,1MFlNx60ZJh4WSlyVFZP1U,5
0,2LgXhWI4fuXiwXOkuPVbJU,5
